127.0.0.1 - - [02/Jun/2021:08:39:13 -0600] "GET / HTTP/1.1" 404 956
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/libraries/jquery.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/bootstrap3/js/bootstrap.min.js HTTP/1.1" 200 27957
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/src/yjresponsive.js HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/legacy/src/yjsg.smoothdrop.js HTTP/1.1" 200 19617
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/yjsg.site.plugins.js HTTP/1.1" 200 28458
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/yjsg.site.js HTTP/1.1" 200 33735
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/src/magnific/yjsg.magnific.popup.min.js HTTP/1.1" 200 20947
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_youyork_slider/src/youyork_slider12.js HTTP/1.1" 200 8893
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_multitab/src/mod_yj_multitabfade12.js HTTP/1.1" 200 2821
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yjis4/src/mod_yjis4.min.js HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yjis4/src/yjmmbox.js HTTP/1.1" 200 27794
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_pop_login/src/yj_login_pop.js HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/modules/mod_yj_live_search/script/YJLiveSearch.js HTTP/1.1" 200 7112
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/components/com_k2/js/k2.js?v2.6.8&sitepath=/hdchannel/ HTTP/1.1" 200 8011
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/templates/hdchannel/src/styles.js HTTP/1.1" 200 3801
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:19 -0600] "GET /bituos/hdchannel/media/system/js/validate.js HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/css/fontfacekits/Play/play-regular-webfont.eot HTTP/1.1" 200 18742
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/logobituos.png HTTP/1.1" 200 16911
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/mainbg.png HTTP/1.1" 200 301969
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/images/upload_slides/cctv.jpg HTTP/1.1" 200 61938
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/images/upload_slides/slider1.jpg HTTP/1.1" 200 121516
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/images/upload_slides/support_banner.jpg HTTP/1.1" 200 98368
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/images/upload_slides/Banner_telefonia2.jpg HTTP/1.1" 200 137962
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/images/upload_slides/cropped-banner-arriba.jpg HTTP/1.1" 200 72511
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/d61d44254608dd06ccdd2ff02982d14d_M.jpg HTTP/1.1" 200 10539
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c82cc4e14a1d2c8c8ffff9840d24b558_M.jpg HTTP/1.1" 200 10305
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/3899dfe821816fbcb3db3e3b23f81585_M.jpg HTTP/1.1" 200 5597
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/9caa2793658f3cc387f216157300b1ce_M.jpg HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/184b7cb84d7b456c96a0bdfbbeaa5f14_M.jpg HTTP/1.1" 200 13230
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/2fa67f482133f1c934235b73c2a03954_M.jpg HTTP/1.1" 200 7146
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/e31ace2a15a7c70645ad83df9ecd43b0_M.jpg HTTP/1.1" 200 10157
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/ada9a09acea936d776a6f55c82778c43_M.jpg HTTP/1.1" 200 9209
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/ffee2447b152494b43d9816faaea83c8_M.jpg HTTP/1.1" 200 9600
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/e0a70f72bdae9885bfc32d7cd19a26a1_M.jpg HTTP/1.1" 200 7859
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/94d43e327d9303539cb1e2aac7032668_M.jpg HTTP/1.1" 200 10949
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/2ff2ba0051687eef5ca0459cf942940c_M.jpg HTTP/1.1" 200 8925
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c889234799e865bbe90cee71f6cd2e53_M.jpg HTTP/1.1" 200 8353
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/233826a67be66a810b23a263230da62e_M.jpg HTTP/1.1" 200 12706
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/f4b6dca0e2911082f0eb6e1df1a0e11d_M.jpg HTTP/1.1" 200 9251
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/e2bf3b11df0b872112757f1c2fee6e32_M.jpg HTTP/1.1" 200 10386
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/9b2c4b44fb86522964124ed80d03c5e8_M.jpg HTTP/1.1" 200 10894
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/71f67488b0857639cee631943a3fc6fa_M.jpg HTTP/1.1" 200 6112
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/48ee1e8a0a8f50dce4f8cb9ab418e211_M.jpg HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/fc1da7257992fc36032e11db3df7a664_M.jpg HTTP/1.1" 200 11490
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/fd8b0f77d767f1f6640afba6916ff67c_M.jpg HTTP/1.1" 200 9194
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/4965657af186b9092c7a96976ffe881c_M.jpg HTTP/1.1" 200 9746
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c9b002fe1bb0320831a8ae78670fdb6f_M.jpg HTTP/1.1" 200 8554
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/077ab55046ce80eaf9a3ddea999597ca_M.jpg HTTP/1.1" 200 9560
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/867519228d1d5325856fc61d710ded0e_M.jpg HTTP/1.1" 200 8572
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/f7a0a54c92471ac4480e727e4ccf93df_M.jpg HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/f710044bf79a4b1f5d8b085e5e5d9711_M.jpg HTTP/1.1" 200 10496
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/fa55c8bad0e242eb7986dc1135b50adb_M.jpg HTTP/1.1" 200 11931
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/9ecd376e5371efaef9aad9bc9143aed8_M.jpg HTTP/1.1" 200 11848
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/0b1ad7a7b79268a1f4558db78e092446_M.jpg HTTP/1.1" 200 11044
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/1c0ae2205709722b62e843abc0471a55_M.jpg HTTP/1.1" 200 9932
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/01f1a05053c6242fcfa23075e5b963c1_M.jpg HTTP/1.1" 200 12723
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/fc34f61d23b74be53ee07d469bd32064_M.jpg HTTP/1.1" 200 12060
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/feb4274796d93ff716e9650163a77fb8_M.jpg HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/af2ef6a0e2c9c528b09655df79f3b312_M.jpg HTTP/1.1" 200 7503
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/787ae9ec9023a82f5aa7e4c1a64f73cb_M.jpg HTTP/1.1" 200 11229
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/d61d44254608dd06ccdd2ff02982d14d_XS.jpg HTTP/1.1" 200 4462
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/2ff2ba0051687eef5ca0459cf942940c_XS.jpg HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/3899dfe821816fbcb3db3e3b23f81585_XS.jpg HTTP/1.1" 200 2768
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c82cc4e14a1d2c8c8ffff9840d24b558_XS.jpg HTTP/1.1" 200 4237
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/4965657af186b9092c7a96976ffe881c_XS.jpg HTTP/1.1" 200 4399
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c889234799e865bbe90cee71f6cd2e53_XS.jpg HTTP/1.1" 200 3730
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/48ee1e8a0a8f50dce4f8cb9ab418e211_XS.jpg HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/9b2c4b44fb86522964124ed80d03c5e8_XS.jpg HTTP/1.1" 200 4449
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/feb4274796d93ff716e9650163a77fb8_XS.jpg HTTP/1.1" 200 3216
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/01f1a05053c6242fcfa23075e5b963c1_XS.jpg HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/af2ef6a0e2c9c528b09655df79f3b312_XS.jpg HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/0b1ad7a7b79268a1f4558db78e092446_XS.jpg HTTP/1.1" 200 4568
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/e0a70f72bdae9885bfc32d7cd19a26a1_S.jpg HTTP/1.1" 200 6653
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/71f67488b0857639cee631943a3fc6fa_S.jpg HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/d61d44254608dd06ccdd2ff02982d14d_S.jpg HTTP/1.1" 200 8704
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/0b1ad7a7b79268a1f4558db78e092446_S.jpg HTTP/1.1" 200 9350
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/e31ace2a15a7c70645ad83df9ecd43b0_S.jpg HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/1c0ae2205709722b62e843abc0471a55_S.jpg HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/f710044bf79a4b1f5d8b085e5e5d9711_S.jpg HTTP/1.1" 200 8729
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/f7a0a54c92471ac4480e727e4ccf93df_S.jpg HTTP/1.1" 200 7395
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/94d43e327d9303539cb1e2aac7032668_S.jpg HTTP/1.1" 200 9139
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/media/k2/items/cache/c9b002fe1bb0320831a8ae78670fdb6f_S.jpg HTTP/1.1" 200 7098
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/userlogin.png HTTP/1.1" 200 1574
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/lupe.png HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/active_l.png HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/horiz_bg.png HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/normal_l_haschild.png HTTP/1.1" 200 1147
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/corners/bl.png HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/corners/tl.png HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/corners/tr.png HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/corners/right.png HTTP/1.1" 200 1175
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/corners/br.png HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/normal_l.png HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/active_r.png HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/normal_r.png HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/arrow_right.png HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/is_decbg.png HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/is_rm.png HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/point_navigation.png HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yj_preview.png HTTP/1.1" 200 1134
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/york_arrow_right.png HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/york_arrow_left.png HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yj_more.png HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/york_arrow_left2.png HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/york_arrow_right2.png HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/point_navigation2.png HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjfacebook.png HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjlinkedin.png HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjskype.png HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjtwitter.png HTTP/1.1" 200 2889
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjflickr.png HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjyoutube.png HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/yjgoogleplus.png HTTP/1.1" 200 3350
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/template_list_normal.png HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:20 -0600] "GET /bituos/hdchannel/plugins/system/yjsg/assets/images/mm_arrow.png HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [02/Jun/2021:08:39:40 -0600] "GET /bituos/hdchannel/templates/hdchannel/images/red/topmenu/active_l_haschild.png HTTP/1.1" 200 1217
127.0.0.1 - - [02/Jun/2021:08:39:48 -0600] "GET /bituos/index.action HTTP/1.1" 200 88424
